Provincia,Unnamed: 1,Localidad,ADSL,CABLEMODEM,Unnamed: 5,FIBRAOPTICA,4G,3G,Unnamed: 9,WIRELESS,Unnamed: 11
0,Bragado,La Limpia,--,0,--,--,--,0,--,--,--
BUENOS AIRES,Bragado,Máximo Fernández (Est Juan F Salaberry),0,--,--,--,0,0,--,--,0
BUENOS AIRES,0,0,SI,SI,0,0,--,--,0,0,--
BUENOS AIRES,0,Olascoaga,--,--,0,--,--,--,0,0,--
0,Bragado,Warnes,0,0,--,--,0,0,--,SI,0
BUENOS AIRES,Brandsen,Altamirano,0,--,--,--,0,--,SI,--,0
BUENOS AIRES,0,0,--,--,0,0,SI,SI,0,0,--
BUENOS AIRES,Brandsen,0,--,--,--,0,SI,SI,--,0,--
BUENOS AIRES,Brandsen,0,--,--,--,0,--,--,0,--,--
BUENOS AIRES,0,Barrio Parque Las Acacias,--,--,0,--,--,--,0,--,0
BUENOS AIRES,Brandsen,Campos de Roca,0,0,--,--,0,SI,--,0,--
0,Brandsen,Club de Campo Las Malvinas,--,0,--,--,--,0,--,0,--
ENTRE RIOS,0,Pueblo Moreno,--,--,0,--,--,--,0,--,0
RIO NEGRO,0,0,--,--,0,0,--,--,0,SI,--
BUENOS AIRES,0,Coronel Brandsen,SI,SI,0,SI,SI,SI,0,SI,--
BUENOS AIRES,Brandsen,0,--,--,--,0,SI,--,0,0,--
0,Brandsen,Jeppener,SI,0,--,SI,SI,0,SI,--,0
0,Brandsen,Oliden,0,--,--,--,0,--,SI,--,0
BUENOS AIRES,Brandsen,Posada de los Lagos,0,--,--,--,0,SI,--,0,--
0,Brandsen,Samborombón,0,0,--,--,0,0,--,0,--
BUENOS AIRES,Campana,0,--,--,--,0,SI,SI,--,SI,0
BUENOS AIRES,0,0,--,--,0,0,SI,SI,0,SI,0
0,Campana,Campana,0,0,SI,SI,0,0,SI,SI,SI
BUENOS AIRES,Campana,Chacras del Río Luján,0,--,--,--,0,SI,--,0,--
BUENOS AIRES,0,0,--,SI,0,0,SI,SI,--,--,--
BUENOS AIRES,0,General Rodríguez,SI,SI,0,SI,SI,SI,0,SI,0
BUENOS AIRES,General San Martín,Barrio Parque General San Martin,0,--,SI,SI,0,--,SI,SI,--
0,General San Martín,Billinghurst,SI,0,--,SI,SI,0,SI,0,--
0,General San Martín,Ciudad Del Libertador General San Martin,0,0,--,SI,0,0,SI,SI,0
BUENOS AIRES,General San Martín,Ciudad Jardin El Libertador,0,SI,--,--,0,SI,SI,--,--
BUENOS AIRES,0,0,--,SI,0,0,SI,SI,0,0,--
BUENOS AIRES,General San Martín,0,--,SI,--,0,SI,SI,--,--,--
BUENOS AIRES,General San Martín,Villa Ballester,0,SI,SI,SI,0,SI,SI,SI,--
0,General San Martín,Villa Bernardo Monteagudo,--,0,--,SI,SI,0,--,--,0
0,General San Martín,Villa Chacabuco,--,0,--,SI,SI,0,--,--,--
BUENOS AIRES,General San Martín,Villa Coronel Jose M Zapiola,0,SI,--,SI,0,SI,--,0,--
BUENOS AIRES,0,Villa General Antonio J De Sucre,--,SI,0,SI,SI,SI,0,--,--
BUENOS AIRES,0,0,--,SI,--,0,SI,SI,--,--,0
BUENOS AIRES,General San Martín,0,--,SI,--,0,SI,SI,--,0,--
