Provincia,Partido,,Poblacion,ADSL,CABLEMODEM,,FIBRAOPTICA,SATELITAL,WIRELESS,TELEFONIAFIJA,3G,4G,,Latitud,Longitud
BUENOS AIRES,General Pinto,Villa Roth (Est. Ingeniero Balbín),,,--,--,,--,--,,--,--,6351050,,"-62,1710489234118"
,General Pueyrredón,Barrio Colinas Verdes,0,,--,--,--,,SI,--,SI,SI,,"-37,8931024789245","-57,8261645643114"
,General Pueyrredón,Barrio El Boquerón,,,--,--,,,SI,--,--,,6357020,"-38,0297229162982","-57,7995485049706"
BUENOS AIRES,General Pueyrredón,Barrio El Casal,,--,--,--,,--,SI,--,,,6357110,"-37,8324145231571",
BUENOS AIRES,,,0,--,,,SI,--,,--,SI,SI,,"-37,9050810135269","-57,7391824086455"
BUENOS AIRES,General Pueyrredón,,415,--,--,,--,--,SI,,SI,SI,,,"-57,7858860640391"
BUENOS AIRES,General Pueyrredón,Barrio Santa Paula,,--,--,--,,SI,SI,--,,SI,6357060,"-37,9317157840639",
,General Pueyrredón,Batán,,,--,--,SI,,SI,SI,SI,,6357070,"-38,0086211557001",
,General Pueyrredón,Camet,,,--,--,,,SI,SI,SI,SI,,"-37,9130763908367","-57,552463851894"
ENTRE RIOS,Colón,Hocker,,--,--,--,,--,SI,,--,SI,,,"-58,3417058444451"
BUENOS AIRES,,,42663,SI,,,SI,--,,SI,SI,,6515010,"-34,4790933125467","-58,6989741628196"
BUENOS AIRES,Malvinas Argentinas,,59169,SI,SI,,SI,SI,SI,SI,,SI,6515010,"-34,5078746726212",
BUENOS AIRES,,,408,--,,,SI,--,SI,,--,--,,,"-58,7013439131882"
BUENOS AIRES,,Tortuguitas,45901,SI,,--,SI,--,,SI,SI,SI,,"-34,4746661471823","-58,7513344097631"
BUENOS AIRES,Malvinas Argentinas,Villa De Mayo,,SI,SI,SI,,--,SI,SI,,,6515010,"-34,5061507591135",
,Mar Chiquita,Atlantida,0,,--,--,--,,--,--,SI,,6518020,"-37,8505519250944","-57,5134595632837"
BUENOS AIRES,,Camet Norte,0,--,,--,--,--,,--,SI,SI,,,"-57,4974692762018"
BUENOS AIRES,,,6611,SI,,,SI,--,,,SI,SI,6518010,,"-57,7299500229319"
BUENOS AIRES,Mar Chiquita,Frente Mar,,--,--,--,,--,--,--,,,6518020,"-37,857770246553",
,San Miguel,San Miguel,,,SI,SI,,,SI,SI,,SI,6760010,"-34,5536228677773",
BUENOS AIRES,San Nicolás,,0,--,--,,--,--,--,,--,--,,,"-60,2846972878391"
BUENOS AIRES,,,2066,SI,,,--,SI,,,SI,SI,6763010,,"-60,3541264450858"
BUENOS AIRES,,Erézcano,434,--,,--,--,--,,--,,--,6763020,"-33,5232449410318",
BUENOS AIRES,San Nicolás,,2464,--,--,,SI,SI,,SI,,,6763030,"-33,4758683523604",
,San Nicolás,La Emilia,5325,,--,--,--,,--,,SI,SI,6763040,,"-60,3139573529074"
,San Nicolás,San Nicolás de los Arroyos,,SI,SI,SI,,SI,SI,SI,SI,SI,,"-33,3487082868277","-60,231333927581"
BUENOS AIRES,,,0,--,,,--,--,,--,SI,,6763010,"-33,3599587304228","-60,3000892882903"
BUENOS AIRES,,Villa Canto,0,--,,--,--,--,,--,,,6763010,"-33,3708479748",
BUENOS AIRES,,Villa Esperanza,386,--,,--,--,--,,--,--,--,,"-33,422326147095","-60,2605874904382"
BUENOS AIRES,San Nicolás,,0,--,--,,--,--,--,,--,--,6763010,,"-60,2953990898749"
,San Pedro,Gobernador Castro,,,--,--,--,,--,--,,,6770010,"-33,6605787290919",
BUENOS AIRES,San Pedro,Ingeniero Moneta,,--,--,--,,--,--,--,,--,6770015,"-33,9314631330704",
,San Pedro,Obligado,,,--,--,,,--,,--,SI,6770020,,"-59,8199792397796"
,San Pedro,Pueblo Doyle,528,,--,--,--,,--,,--,--,,,"-59,8187532271261"
BUENOS AIRES,,,1814,--,,,SI,--,,--,,SI,6770040,"-33,769589927701",
BUENOS AIRES,,San Pedro,47452,SI,,--,SI,SI,,SI,,,6770050,"-33,6791252253366",
,San Pedro,Santa Lucía,2360,,--,--,SI,,--,SI,SI,SI,,"-33,8794559527188","-59,8753284459435"
BUENOS AIRES,San Vicente,Alejandro Korn,,,SI,SI,,--,SI,,SI,SI,,,"-58,3865346894091"
BUENOS AIRES,San Vicente,,0,--,SI,,--,--,SI,SI,SI,,6778020,"-35,048692550243","-58,3145745868708"
BUENOS AIRES,,,23405,SI,,SI,SI,--,,SI,,,6778020,"-35,010404143813",
BUENOS AIRES,Suipacha,General Rivas,,SI,--,--,,--,SI,SI,--,SI,,"-34,6100370680434","-59,7504234207746"
,Suipacha,Suipacha,8403,,--,SI,SI,,SI,,SI,SI,,,"-59,6879181821818"
