AÃ±o,Trimestre,Provincia,Mbps (Media de bajada),Unnamed: 4,Unnamed: 5
2015,2,Misiones,5,00,00
2015,2,NeuquÃ©n,4,00,00
2015,2,RÃ­oNegro,4,00,00
2015,2,Salta,4,00,00
2015,2,SanJuan,3,00,00
2015,2,SanLuis,4,00,00
2015,2,SantaCruz,3,00,00
2015,2,SantaFe,4,00,00
2015,2,SantiagoDelEstero,4,00,00
2015,2,TierraDelFuego,3,00,00
2015,2,TucumÃ¡n,4,00,00
2015,1,BuenosAires,4,00,00
2015,1,CapitalFederal,5,00,00
2015,1,Catamarca,3,00,00
2015,1,Chaco,5,00,00
2015,1,Chubut,3,00,00
2015,1,CÃ³rdoba,4,00,00
2015,1,Corrientes,5,00,00
2015,1,EntreRÃ­os,4,00,00
2015,1,Formosa,3,00,00
2015,1,Jujuy,3,00,00
2015,1,LaPampa,3,00,00
2015,1,LaRioja,4,00,00
2015,1,Mendoza,4,00,00
2015,1,Misiones,5,00,00
2015,1,NeuquÃ©n,4,00,00
2015,1,RÃ­oNegro,4,00,00
2015,1,Salta,4,00,00
2015,1,SanJuan,3,00,00
2015,1,SanLuis,4,00,00
2015,1,SantaCruz,3,00,00
2015,1,SantaFe,4,00,00
2015,1,SantiagoDelEstero,4,00,00
2015,1,TierraDelFuego,3,00,00
2015,1,TucumÃ¡n,4,00,00
2014,4,BuenosAires,4,00,00
2014,4,CapitalFederal,5,00,00
2014,4,Catamarca,3,00,00
2014,4,Chaco,4,00,00
2014,4,Chubut,3,00,00
2014,4,CÃ³rdoba,4,00,00
2014,4,Corrientes,4,00,00
2014,4,EntreRÃ­os,4,00,00
2014,4,Formosa,3,00,00
2014,4,Jujuy,3,00,00
2014,4,LaPampa,3,00,00
2014,4,LaRioja,4,00,00
2014,4,Mendoza,4,00,00
2014,4,Misiones,4,00,00
2014,4,NeuquÃ©n,4,00,00
2014,4,RÃ­oNegro,4,00,00
2014,4,Salta,4,00,00
