,Año,Trimestre,Provincia,Mbps (Media de bajada),Unnamed: 4,Unnamed: 5
480,2017,3,Buenos Aires,8,0,0
481,2017,3,Capital Federal,11,0,0
482,2017,3,Catamarca,5,0,0
483,2017,3,Chaco,8,0,0
484,2017,3,Chubut,3,0,0
485,2017,3,Córdoba,9,0,0
486,2017,3,Corrientes,7,0,0
487,2017,3,Entre Ríos,7,0,0
488,2017,3,Formosa,7,0,0
489,2017,3,Jujuy,5,0,0
490,2017,3,La Pampa,3,0,0
491,2017,3,La Rioja,5,0,0
492,2017,3,Mendoza,4,0,0
493,2017,3,Misiones,8,0,0
494,2017,3,Neuquén,8,0,0
495,2017,3,Río Negro,5,0,0
496,2017,3,Salta,6,0,0
497,2017,3,San Juan,3,0,0
498,2017,3,San Luis,4,0,0
499,2017,3,Santa Cruz,4,0,0
500,2017,3,Santa Fe,8,0,0
501,2017,3,Santiago Del Estero,5,0,0
502,2017,3,Tierra Del Fuego,3,0,0
503,2017,3,Tucumán,6,0,0
504,2017,2,Buenos Aires,7,0,0
505,2017,2,Capital Federal,9,0,0
506,2017,2,Catamarca,5,0,0
507,2017,2,Chaco,8,0,0
508,2017,2,Chubut,3,0,0
509,2017,2,Córdoba,7,0,0
510,2017,2,Corrientes,7,0,0
511,2017,2,Entre Ríos,6,0,0
512,2017,2,Formosa,6,0,0
513,2017,2,Jujuy,5,0,0
514,2017,2,La Pampa,3,0,0
515,2017,2,La Rioja,6,0,0
516,2017,2,Mendoza,4,0,0
517,2017,2,Misiones,8,0,0
518,2017,2,Neuquén,7,0,0
519,2017,2,Río Negro,5,0,0
520,2017,2,Salta,6,0,0
521,2017,2,San Juan,3,0,0
522,2017,2,San Luis,4,0,0
523,2017,2,Santa Cruz,4,0,0
524,2017,2,Santa Fe,7,0,0
525,2017,2,Santiago Del Estero,5,0,0
526,2017,2,Tierra Del Fuego,3,0,0
527,2017,2,Tucumán,6,0,0
528,2017,1,Buenos Aires,7,0,0
529,2017,1,Capital Federal,8,0,0
530,2017,1,Catamarca,5,0,0
531,2017,1,Chaco,7,0,0
532,2017,1,Chubut,3,0,0
533,2017,1,Córdoba,7,0,0
534,2017,1,Corrientes,6,0,0
535,2017,1,Entre Ríos,6,0,0
536,2017,1,Formosa,6,0,0
537,2017,1,Jujuy,4,0,0
538,2017,1,La Pampa,3,0,0
539,2017,1,La Rioja,5,0,0
540,2017,1,Mendoza,4,0,0
541,2017,1,Misiones,7,0,0
542,2017,1,Neuquén,6,0,0
543,2017,1,Río Negro,4,0,0
544,2017,1,Salta,5,0,0
545,2017,1,San Juan,3,0,0
546,2017,1,San Luis,4,0,0
547,2017,1,Santa Cruz,4,0,0
548,2017,1,Santa Fe,6,0,0
549,2017,1,Santiago Del Estero,5,0,0
550,2017,1,Tierra Del Fuego,3,0,0
551,2017,1,Tucumán,6,0,0
552,2016,4,Buenos Aires,6,0,0
553,2016,4,Capital Federal,8,0,0
554,2016,4,Catamarca,5,0,0
555,2016,4,Chaco,7,0,0
556,2016,4,Chubut,3,0,0
557,2016,4,Córdoba,6,0,0
558,2016,4,Corrientes,6,0,0
559,2016,4,Entre Ríos,6,0,0
560,2016,4,Formosa,6,0,0
561,2016,4,Jujuy,4,0,0
562,2016,4,La Pampa,3,0,0
563,2016,4,La Rioja,5,0,0
564,2016,4,Mendoza,4,0,0
565,2016,4,Misiones,7,0,0
566,2016,4,Neuquén,6,0,0
567,2016,4,Río Negro,4,0,0
568,2016,4,Salta,5,0,0
569,2016,4,San Juan,3,0,0
570,2016,4,San Luis,4,0,0
571,2016,4,Santa Cruz,4,0,0
572,2016,4,Santa Fe,6,0,0
573,2016,4,Santiago Del Estero,5,0,0
574,2016,4,Tierra Del Fuego,3,0,0
575,2016,4,Tucumán,6,0,0
576,2016,3,Buenos Aires,6,0,0
577,2016,3,Capital Federal,7,0,0
578,2016,3,Catamarca,5,0,0
579,2016,3,Chaco,7,0,0
580,2016,3,Chubut,3,0,0
581,2016,3,Córdoba,6,0,0
582,2016,3,Corrientes,6,0,0
583,2016,3,Entre Ríos,6,0,0
584,2016,3,Formosa,5,0,0
585,2016,3,Jujuy,4,0,0
586,2016,3,La Pampa,3,0,0
587,2016,3,La Rioja,5,0,0
588,2016,3,Mendoza,4,0,0
589,2016,3,Misiones,7,0,0
590,2016,3,Neuquén,5,0,0
591,2016,3,Río Negro,4,0,0
592,2016,3,Salta,5,0,0
593,2016,3,San Juan,3,0,0
594,2016,3,San Luis,4,0,0
595,2016,3,Santa Cruz,4,0,0
596,2016,3,Santa Fe,6,0,0
597,2016,3,Santiago Del Estero,5,0,0
598,2016,3,Tierra Del Fuego,3,0,0
599,2016,3,Tucumán,6,0,0
600,2016,2,Buenos Aires,5,0,0
601,2016,2,Capital Federal,7,0,0
602,2016,2,Catamarca,4,0,0
603,2016,2,Chaco,6,0,0
604,2016,2,Chubut,3,0,0
605,2016,2,Córdoba,6,0,0
606,2016,2,Corrientes,6,0,0
607,2016,2,Entre Ríos,5,0,0
608,2016,2,Formosa,5,0,0
609,2016,2,Jujuy,4,0,0
610,2016,2,La Pampa,3,0,0
611,2016,2,La Rioja,5,0,0
612,2016,2,Mendoza,4,0,0
613,2016,2,Misiones,6,0,0
614,2016,2,Neuquén,5,0,0
615,2016,2,Río Negro,4,0,0
616,2016,2,Salta,5,0,0
617,2016,2,San Juan,3,0,0
618,2016,2,San Luis,4,0,0
619,2016,2,Santa Cruz,4,0,0
620,2016,2,Santa Fe,5,0,0
621,2016,2,Santiago Del Estero,4,0,0
622,2016,2,Tierra Del Fuego,3,0,0
623,2016,2,Tucumán,5,0,0
624,2016,1,Buenos Aires,5,0,0
625,2016,1,Capital Federal,6,0,0
626,2016,1,Catamarca,4,0,0
627,2016,1,Chaco,6,0,0
628,2016,1,Chubut,3,0,0
629,2016,1,Córdoba,5,0,0
630,2016,1,Corrientes,5,0,0
631,2016,1,Entre Ríos,5,0,0
632,2016,1,Formosa,5,0,0
633,2016,1,Jujuy,4,0,0
634,2016,1,La Pampa,3,0,0
635,2016,1,La Rioja,5,0,0
636,2016,1,Mendoza,4,0,0
637,2016,1,Misiones,6,0,0
638,2016,1,Neuquén,4,0,0
639,2016,1,Río Negro,4,0,0
640,2016,1,Salta,5,0,0
641,2016,1,San Juan,3,0,0
642,2016,1,San Luis,4,0,0
643,2016,1,Santa Cruz,3,0,0
644,2016,1,Santa Fe,5,0,0
645,2016,1,Santiago Del Estero,4,0,0
646,2016,1,Tierra Del Fuego,3,0,0
647,2016,1,Tucumán,5,0,0
648,2015,4,Buenos Aires,5,0,0
649,2015,4,Capital Federal,6,0,0
650,2015,4,Catamarca,4,0,0
651,2015,4,Chaco,6,0,0
652,2015,4,Chubut,3,0,0
653,2015,4,Córdoba,5,0,0
654,2015,4,Corrientes,5,0,0
655,2015,4,Entre Ríos,5,0,0
656,2015,4,Formosa,5,0,0
657,2015,4,Jujuy,4,0,0
658,2015,4,La Pampa,3,0,0
659,2015,4,La Rioja,5,0,0
660,2015,4,Mendoza,4,0,0
661,2015,4,Misiones,6,0,0
662,2015,4,Neuquén,4,0,0
663,2015,4,Río Negro,4,0,0
664,2015,4,Salta,5,0,0
665,2015,4,San Juan,3,0,0
666,2015,4,San Luis,4,0,0
667,2015,4,Santa Cruz,3,0,0
668,2015,4,Santa Fe,5,0,0
669,2015,4,Santiago Del Estero,4,0,0
670,2015,4,Tierra Del Fuego,3,0,0
671,2015,4,Tucumán,5,0,0
672,2015,3,Buenos Aires,5,0,0
673,2015,3,Capital Federal,6,0,0
674,2015,3,Catamarca,4,0,0
675,2015,3,Chaco,5,0,0
