Codigo;Persona
621709;424
621710;5403
621711;429
621712;13564
622401;13661
622402;10805
622403;8297
622404;13218
622405;193
622406;352
622407;81
622408;72
622409;5492
622410;81
622411;421
622412;471
622413;296
622414;251
622415;98
622416;39
622417;298
622418;79
622419;300
622420;2270
622421;66
622422;7344
623101;2168
623102;168
623103;216
623104;112
623105;73
623106;231
623107;184
623108;711
623109;191
623110;1582
623111;6
623112;11247
623801;11310
623802;10977
623803;347
623804;87
623805;145
623806;3672
623807;254
623808;60
623809;109
623810;15
623811;66
624501;10983
624502;16097
624503;13178
624504;11302
624505;5169
625201;16883
625202;13116
625203;5944
625204;14134
625205;9240
625206;7024
625207;16546
625208;11043
625209;24407
625210;17162
625211;9017
625212;12891
625213;12171
625214;24951
625215;18586
625216;504
626601;489
626602;1923
626603;7590
626604;551
626605;4189
626606;4575
626607;10488
627701;8053
627702;816
628001;6655
628002;5925
628003;1867
628004;2597
628005;239
628006;2760
628007;576
628008;1677
628009;699
628010;2419
628011;7252
628012;6928
628701;245
628702;139
628703;61
628704;9921
628705;290
628706;223
628707;251
629401;27
629402;2765
629403;48
629404;4321
629405;243
629406;3070
629407;108
629408;4321
630101;562
630102;127
630103;103
630104;165
630105;8440
630106;285
630107;233
630108;7450
630801;53
630802;49
630803;70
630804;73
630805;545
630806;874
630807;71
630808;31
630809;83
630810;967
631501;16680
631502;161
631503;1759
631504;193
631505;540
631506;333
631507;81
632201;41
632202;98
632203;859
632204;77
632205;92
632206;8213
632207;303
632208;83
632209;95
632210;682
632211;90
632212;51
632213;99
632901;279
632902;385
632903;11858
632904;602
632905;1623
632906;142
633601;102
633602;1827
633603;74
633604;32
633605;332
633606;64
633607;185
633608;111
633609;73
633610;900
634301;1100
634302;132
634303;181
634304;179
634305;196
634306;985
634307;8335
634308;94
635101;879
635102;252
635103;107
635104;1600
635105;76
635106;6688
635107;117
635108;178
635109;1288
635110;76
635701;8819
635702;8533
635703;8704
635704;5890
635705;9725
635706;9986
635707;11079
635708;12532
635709;15814
635710;15206
635711;13081
635712;16275
635713;9075
635714;8306
635715;9654
635716;7139
635717;6212
635718;6375
635719;4262
635720;2707
635721;4038
635722;5235
635723;2326
635724;1323
635725;1214
635726;1922
635727;1924
635728;2016
635729;1762
635730;3477
635731;3576
635732;4783
635733;6121
635734;3096
635735;4297
635736;1878
635737;2696
635738;1300
635739;3242
635740;3263
635741;3032
635742;1762
635743;2809
